"department","code","website","college_code"
"Interdisciplinary Health Sciences","IHLT","ihealth.illinois.edu/","KY"
"Illinois Informatics Institute (I3)","INFO","www.informatics.illinois.edu","LM"
"School of Information Sciences","IS","www.lis.illinois.edu","LP"
"East Asian Languages and Cultures","JAPN","www.ealc.illinois.edu","KV"
"French and Italian","ITAL","www.french.illinois.edu","KV"
"Journalism","JOUR","www.media.illinois.edu/journalism/","KT"
"Jewish Culture and Society","JS","jewishculture.illinois.edu","KV"
"Kinesiology & Community Health","KIN","www.kch.illinois.edu/","KY"
"East Asian Languages and Cultures","KOR","www.ealc.illinois.edu","KV"
"Landscape Architecture","LA","www.landarch.illinois.edu","KR"
"Liberal Arts and Sciences","LAS","www.las.illinois.edu/","KV"
"Latin American and Caribbean Studies","LAST","clacs.illinois.edu","KV"
"Classics","LAT","www.classics.illinois.edu","KV"
"Law","LAW","www.law.illinois.edu","KU"
"Labor and Employment Relations","LER","www.ler.illinois.edu","LG"
"Linguistics","LING","www.linguistics.illinois.edu","KV"
"Latina/Latino Studies","LLS","lls.illinois.edu","KV"
"Media and Cinema Studies","MACS","www.media.illinois.edu/macs/","KT"
"MBA Program Administration","MBA","www.mba.illinois.edu/","KM"
"Mathematics","MATH","math.illinois.edu","KV"
"Molecular and Cellular Biology, School of","MCB","www.mcb.illinois.edu","KV"
"College of Media","MDIA","www.media.illinois.edu","KT"
"Medieval Studies, Program in","MDVL","www.medieval.illinois.edu","KV"
"Mechanical Science and Engineering","ME","www.mechse.illinois.edu","KP"
"Microbiology","MICR","mcb.illinois.edu/departments/microbiology","KV"
"Military Science","MILS","go.illinois.edu/armyrotc","LD"
"Molecular and Integrative Physiology","MIP","http://mcb.illinois.edu/","KV"
"Materials Science and Engineering","MSE","www.matse.illinois.edu","KP"
"Music","MUS","www.music.illinois.edu","KR"
"Museum Studies","MUSE","www.anthro.illinois.edu/","KV"
"Neuroscience, Program in","NEUR","neuroscience.illinois.edu","KV"
"Nuclear, Plasma, and Radiological Engineering","NPRE","www.npre.illinois.edu","KP"
"Natural Resources and Environmental Sciences","NRES","www.nres.uiuc.edu","KL"
"Naval Science","NS","rotc.navy.illinois.edu/","LD"
"Nutritional Sciences","NUTR","www.nutrsci.illinois.edu","KL"
"Pathobiology","PATH","www.cvm.illinois.edu/path/","LC"
"Plant Biology","PBIO","www.life.uiuc.edu/plantbio","KV"
"Linguistics","PERS","www.linguistics.uiuc.edu","KV"
"Philosophy","PHIL","www.philosophy.illinois.edu","KV"
"Physics","PHYS","www.physics.uiuc.edu","KP"
"Crop Sciences","PLPA","www.cropsciences.illinois.edu/","KL"
"Slavic Languages and Literature","POL","www.slavic.uiuc.edu/","KV"
"Spanish and Portuguese","PORT","www.spanport.illinois.edu","KV"
"Political Science","PS","www.pol.illinois.edu","KV"
"Graduate College","PSM","www.psm.illinois.edu/","KS"
"Psychology","PSYC","www.psych.illinois.edu","KV"
"Russian, East European, and Eurasian Center","REES","reec.illinois.edu","KV"
"Kinesiology & Community Health","REHB","www.kch.illinois.edu/","KY"
"Department of Religion","REL","www.relst.illinois.edu","KV"
"English","RHET","www.english.uiuc.edu","KV"
"Spanish and Portuguese","RMLG","www.sip.illinois.edu","KV"
"Recreation, Sport and Tourism","RST","www.rst.illinois.edu/","KY"
"Slavic Languages and Literature","RUSS","www.slavic.uiuc.edu/","KV"
"South Asian and Middle Eastern Studies, Center for","SAME","www.csames.illinois.edu/","KV"
"College of Media Programs","SBC","www.media.illinois.edu","KT"
"Germanic Languages and Literatures","SCAN","www.germanic.illinois.edu","KV"
"Industrial and Enterprise Systems Engineering","SE","http://ise.illinois.edu/","KP"
"Speech and Hearing Science","SHS","www.shs.illinois.edu/","KY"
"Slavic Languages and Literature","SLAV","www.slavic.illinois.edu/","KV"
"School of Literatures, Cultures, and Linguistics","SLCL","www.slcl.illinois.edu/","KV"
"Second Language Acquisition and Teacher Education (SLATE)","SLS","www.slate.lang.uiuc.edu","KV"
"Sociology","SOC","sociology.illinois.edu","KV"
"Social Work, School of","SOCW","socialwork.illinois.edu/","LL"
"Spanish and Portuguese","SPAN","www.spanport.illinois.edu","KV"
"Special Education","SPED","www.ed.uiuc.edu/COE/SPED","KN"
"Statistics","STAT","stat.uiuc.edu","KV"
"Linguistics","SWAH","www.linguistics.uiuc.edu","KV"
"Mechanical Science and Engineering","TAM","www.mechse.illinois.edu","KP"
"Technology Entrepreneurship","TE","www.tec.uiuc.edu","KP"
"Theatre","THEA","theatre.illinois.edu/","KR"
"Engineering","TMGT","www.engr.uiuc.edu","KP"
"Translation Studies","TRST","www.translation.illinois.edu","KV"
"Agricultural and Biological Engineering","TSM","www.age.uiuc.edu","KL"
"Linguistics","TURK","www.linguistics.uiuc.edu","KV"
"Slavic Languages and Literature","UKR","www.slavic.uiuc.edu/","KV"
"Urban and Regional Planning","UP","www.urban.uiuc.edu","KR"
"Veterinary Clinical Medicine","VCM","www.cvm.illinois.edu/vcm/","LC"
"Veterinary Medicine","VM","www.vetmed.illinois.edu/","LC"
"Women and Gender in Global Perspectives","WGGP","http://ips.illinois.edu/wggp","LL"
"Linguistics","WLOF","www.linguistics.uiuc.edu","KV"
"Center for Writing Studies","WRIT","www.cws.illinois.edu","KV"
"Germanic Languages and Literatures","YDSH","www.germanic.illinois.edu","KV"
